화려한 패션을 소화한 서예지도 놀라운데.... 공대생도 아닌데 무지티에 셔츠만 교복처럼 입었으면서 용안에서 빛이나 고문영 옆에서 비주얼로 밀리지않은 김수현도 머박인 드라마👍,2주 전,807
뭐든 다 소화해버리느ㄴ 김수현....🤍,2주 전(수정됨),17
600번째 좋아요 get ~★,1주 전,0
이 드라마가 진짜 좋았던게 문영이랑 강태 둘이서만 닮는게 아니라 상태도 같이 셋이서 서로 닮아가는 과정이랑 그 모습이 너무 보기 좋았음..,2주 전,780
오케이,2주 전,0
진짜...연기구멍 1도 없도 연출도 오졌도 데칼로 남여바뀌어서 회수한것도 쩔고... 무엇보다 마음에 울림을 주는 드라마처음이였음 ㅠㅠㅠㅠ,2주 전,571
에너지가 넘칠 것 같은데 어떻게 푸세요?,2주 전,0
"@구독안하면 니 꿈에 나타난다 
노래방가서 티얼스만 2키높여서 연속으로 한 200번 부름 됨",1주 전,0
다음주부터 너네엄마는 사이코지만 난정말 괜찮아가 방영됩니다,2주 전,351
진짜면 좋겠다ㅠㅠ,2주 전,8
약간 패드립 아닌가욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1주 전,4
란밍 그럴만하잖아요 ㅋㅋㅋㅋㄱ 도희재는,1주 전,1
재수없다  난 또 고문영 문강태 결혼 에피소드인줄 아라쭄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1주 전,1
란밍 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그러네,1주 전,0
란밍 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1주 전,0
"시청률과는 관계없이 작품이 참 좋았음.
특히 시청자들과의 감정의 교류가 끊어지는 지점이 없이 끝까지 유기적으로 주제를 진득하게 끌고 나간 점,가장 좋았음.
복선이 적절히 안배가 되어 있다보니 결말로 갈 수록 아랫도리 힘 빠지듯,맥 빠지는 결말도 없었고 던져 놓은 떡밥도 적절히 회수하는데 성공.
나도 취미로 시를 쓰고 있고 글 쓰는 걸 좋아하지만 그렇게 시나리오를 쓰는 것이 결코 쉬운 일이 아닌걸 알기에.
결론은 조용 작가님,리스펙트.🙏
차기작품도 기대할께요.❣
(그리고 드라마 속 동화 시리즈는 진심 갓띵작,이거 번역되서 월클동화로 거듭나야한다 진짜로.💦)",2주 전(수정됨),468
강태가 점점 자신의 감정을 드러내고 문영이에게도 마음을 열면서 훨씬 행복해진게 보여서 너무 좋았어요... 특히 문영이가 강태한테 했던걸 강태가 문영이한테 하는게 너무 너무 좋았어요..ㅋㅋㅋㅋ,2주 전,520
바이바이 짜이쩬.,2주 전,0
"문강태 -> 고강태

사랑해 사랑한다고 사랑한다니까
04:28 ~ 05:28
고라니 vs 문강태 
06:48 ~ 06:52
위협하는 고강태
08:35 / 09:19
감정 조절 안 되는 고강태
12:14 / 13:08

사랑하면 닮아간다더니 ㅠㅠ 너무 귀엽다
아 진짜 사괜 못 잃어 ㅠㅠㅠㅠㅠ",2주 전(수정됨),314
그니까요 ㅠㅠ 진짜 인생드라마 ㅠㅠ❤️❤️❤️❤️,2주 전,0
ㅇㅈ ㅠㅠㅠㅠㅠㅠㅠㅠ 어케 잊어 슈바....,2주 전,0
ㄹㅇ 대사회수도 미쳤구 둘이 닮아가는거 보면서 행복했음 ㅠㅠ 강태 무녕이 못잊어......,2주 전,329
"사랑하면 닮는다는건 명백한 사실입니다.
(+사코괜 못보내..ㅜㅜ)",2주 전,7
혜지퀸 그러니까요.....🥺🥺 나 죽으라는 고지....? 🥺,2주 전,1
"1:47 아 제발 똥고집 그만 부려!!   /   5:16 야!!!! 사랑해엑!!!   /   6:50 아이 저 고라니 새끼가; 닥쳐! 이 고라니 새끼야!!   /   12:14 어짜피 똥으로 쌀 거 밥은 왜 먹지? 왜?! / 13:09 당ㅇ, 장난해??! 내가 하고 싶은거는! 목적지 없이!! 뒷일 생각도 안 하고!!! 그냥 막 자유롭게..!! 달려보는 거라니까?!?!?! 그게 한달이 됬던 반년 이상이 됬던 그만하고 싶을 때 까지 계속 쭈욱",1주 전(수정됨),17
아그러고 보니까 강태가 상태한테 여행가자고 설득할때 상태가 불안해서 손톱으로 손바닥계속 두드리는게ㅋㅋ거짓말이었네ㅋㅋㅋ놀리려고ㅋㅋㅋㅋㅋㅋㅋㅋ귀여워,2주 전,241
앜ㅋㅋㅋㅋㅋ그러네,2주 전,5
이 드라마는 무슨 점 점 뒤로 갈 수록 강태가 한말을 문영이가 하고 문영이가 했던 말을 강태가 하넼ㅋㅋㅋㅋㅋㅋ,2주 전,91
"와 진짜 김수현이랑 서예지 사극 한번만 찍어주세요 제발,,,,,,,,역대급 드라마 나올겁니다 진짜 ,,,,제발..!!!!!",1주 전,8
이제 나에게 주말은 의미가 없다,2주 전,237
미투,1주 전,0
내 인생드라마 중 하나로 등극 ... ⭐️ 강태야 문영아 둘다 곤충학대 좀 그만해 .. 진짜 얼굴이 '개미'쳤잖아 ... 아차차 관리자님 드라마 종영 기념으로 메이킹 좀 왕창 풀어주십셔 ... ^^ (굽신굽신),2주 전,168
주접쓰 칭찬쓰,2주 전,0
"문강태 화남 분석 결과
극소노- 1:21(나긋~)
소노- 1:31(흠...)
중노- 1:39(빠직)
대노- 1:43(후.조금 열받네?)
극대노- 1:48(못참아!! 버럭!)",2주 전(수정됨),152
연기도 완벽한데 특히 둘 얼굴합이 진짜 미쳤다..,2주 전,67
너 누구니? 내 복제본인가??,2주 전,5
어머어머 쌍둥이다,2주 전,1
"복식호흡으로 외치는거 완벽.....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
나도 막 웃음 나오고 그러잖아요...ㅋㅋㅋㅋz",2주 전,145
"진짜 서예지 대단함
대본에 사랑해,사랑해 강태씨 이것만 써있었을텐데
그걸 저렇게 소화하냐..진짜
그 대사를 조금 소심하게했음 그냥 완전 다르게 보였을텐데 진짜 갓예지💗💗",2주 전,115
"어쩌면 다 써있을수도요...
작가님 글솜씨가 워낙 대단하셔서..
암튼 서예지님 진짜 대단하시긴함..
갓예지⭐",2주 전,0
엥 ㄴㄴ 무조건 써있었을듯 초기 고문영의 성격을 드러내는 중요한 대사였고 나중에 강태랑 문영이랑 닮아간다는걸 보여주는 대사임. 대본에 없을리가 없음 물론 서예지가 개잘소화한건 팩트,2주 전,11
강태 변한거 ㅈㄴ웃기네ㅋㅋㅋㅋㅋㅋㅋ,2주 전,76
"사괜2가 나올 가능성은 없겠지만....
다른 나라에서 리메이크라도 해줭 ㅠㅠㅠ",2주 전,155
다른 나랔ㅋㅋ,2주 전,0
사괜은 이렇게 가면 안되는데..ㅠㅠ,2주 전,7
소설처럼 외전나왔으면 좋겠음..,2주 전,29
