"엑소 매.니.저~~님~~~ 울 피디냥반,,,,카톡좀,,,읽어줘어,,,~~!!!!",9개월 전,42265
하이,9개월 전,301
하아,9개월 전,191
하이,9개월 전,113
읽씹 아님 그냥 씹?,9개월 전,1005
냥냐,9개월 전,16
"읽어줘어,,~~!!!!",9개월 전,180
Hi,9개월 전,11
하이,9개월 전,15
뀨하!,9개월 전,7
Hi,9개월 전,7
"오늘도 믿고보는 워크맨
시작하는동시에 댓글을 남깁니돠~
홧팅!",9개월 전,26
예도 알바ㅜㅜ,9개월 전,9
엑소매니저 일일알바해주세요 ㅠㅠㅠㅠㅠㅠ❤️❤️💕❤️💕❤️,9개월 전,358
와 엑소 매니저ㅠㅜㅜㅠㅜㅠ 제발 톡봐주세요ㅠㅜㅜㅠ,9개월 전,369
읽어줘라 읽어줘!,9개월 전,32
엑소매니저 일일알바 소취❤️,9개월 전,156
엑소 매니저 갑시다~!~,9개월 전(수정됨),126
제발 엑소 매니저!!,9개월 전,86
"전자제품 설치기사 추천합니다 
달동네 산꼭대기에 냉장고 설치 부탁드립니다",9개월 전,41
존버합니다.,9개월 전,12
피디의 간절한 외침 너무 귀엽지않냐능..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,9개월 전,55
제발 해주세요 엑소 매니저ㅠㅠㅠㅠ,9개월 전,62
지금 딱 활동시기니 한번정도는 해줘도 좋다생각합니다만?!,9개월 전,132
읽어줘요 용매ㅠㅠㅠㅠ.우리엑소 워크맨에서 보고싶어요ㅠㅠㅠㅠㅠㅠ,9개월 전,103
트위터에 용매라고 노여주 있어요 디엠ㄱ,9개월 전,80
흐어어ㅓㄹ ㅠㅠㅠㅠ. 엑소매니저님 얼렁 확인하시라구여~~~!!!!,9개월 전,28
전참시는 안해도 워크맨은 하자 젭알!,9개월 전,45
확인해~!~!,9개월 전,5
SM은 워크맨 카톡을 읽어달라~~~~,9개월 전,49
"제발 읽으세요 용매님 ,,,,",9개월 전,24
마지막 카톡에 '뉴스 확인하셨어요?' 하면 무조건 확인한다 ㅋㅋ,9개월 전,122
연예인 매니저로 출연해서 전참시 나가죠 형님?,9개월 전,20
엑소 워크맨 콜라보 plz....❤️❤️❤️❤️❤️,9개월 전,21
제발 엑소 매니저ㅜㅜㅜㅜ 애들이랑 케미 보여주세요ㅠㅜㅜㅜㅜㅜㅜ,9개월 전,19
읽어라 에스엠,9개월 전,19
제발 ㅠㅠㅠㅠㅠ,9개월 전,7
엑소 매니저 해줘요 젭알😂👍👍👍🤗,9개월 전,9
읽어 줘!!!!!!!,9개월 전,5
용매 카톡좀 읽어요,9개월 전,0
매니저님 제발읽어주세요ㅠㅠㅠ,9개월 전,3
읽어줘요,9개월 전,2
매니저님 읽어줘요~,9개월 전,2
존버!!,9개월 전,0
트위터 가면... 용민 매니저님 계십니다.. ................,9개월 전,14
아쿠아리움 알바 해주세요!!,9개월 전,1
읽어 에셈!!!,9개월 전,0
용매 카톡 모르는척 하는거 아니면 트위터에 아이스 아메리카노 사진을 올려주세욧 !!!,9개월 전(수정됨),7
용매 플리즈!!,9개월 전,5
에셈 뭐해 여기서라도 일해봐 ㅠㅠㅠㅠ,9개월 전,6
엑소 매니저 노여주 노용민에게 문의ㄱㄱ엑소 일일알바 가즈아!!,9개월 전,8
???: 눈치 챙겨,9개월 전,5
엑소 출연 완전 찬성 ㅠㅠ 대찬성,9개월 전,4
엑소 매니저 체험 해줘요ㅠㅠㅠㅠㅠㅠㅠ,9개월 전,4
읽어줘여!!!! 매니저님..ㅋㄱㅋ,9개월 전,2
하이,9개월 전,1
안된다면 아이돌 매니저 진입장벽 쉬운 반반쇼 동료들 송유빈 최병찬 중 해요...^^~~~ 최병찬 해외투어 끝나고 콘서트할때 찍음 좋겠다 (허버버 끼어들기),9개월 전(수정됨),4
워크맨-Workman 아 읽어조 ~~ㅠ0ㅠ,9개월 전,0
존버합니다 ㅠㅠㅠㅠㅠ,9개월 전,0
엑소멤버들 구독했다길래 저도 구독했습니다..,9개월 전,7
ㅋㅋㅋㅋ 엑소 좀 카톡 답좀 해줘라 ㅋㅋㅋㅋㅋㅋㅋ 300만이 지켜보고 있다 ㅋㅋㅋ,9개월 전,5
진짜 매니저는 무슨일하나 궁금했는데 너무 좋을거 같아요!! 전참시보다 리얼한 영상 기대합니다~~!!~!,9개월 전,1
에셈 제발 해주세요,9개월 전,0
잘부탁드립니다 엉엉,9개월 전,0
"엑스엑소가 부릅니다 옵셉션...""꺼져...내게서 사라져...""",9개월 전,0
엑소 매니저 제발 ㅜㅜㅜㅜㅜㅜ,9개월 전,3
ㅋㅋㅋㅋ오늘도 꿀잼 ㅋㅋㅋ매주 잘챙겨보구있어요,9개월 전,0
읽어줘여!!!!,9개월 전,0
ㅋㅋㅋㅋㅋㅋ,9개월 전,0
세븐틴 매니저는 어떠세요?????,9개월 전,1
매니저님~~ 카톡 읽어주세여ㅜㅜㅡㅜ,9개월 전,0
에셈 제발 찍어라ㅏ,9개월 전,0
제발요ㅠㅠㅠㅠ,9개월 전,0
읽어주세요 ㅜㅜ,9개월 전,0
읽어주세욬ㅋㅋㅋㅋㅋㅋㅋㅋ장성규님 일일엑소매니저기다릴게요ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,9개월 전,1
엑소메니저님 ㅠㅜㅜㅠ 빨리 읽어요ㅠㅠㅜㅜㅜㅠㅠㅠ,9개월 전(수정됨),2
