"🐜🐜워크맨 인력소🐜🐜
워크맨의 리뷰를 원하는 job것이 있다면↓댓글 추천↓

✔청소.인력.식당.요리.철거.공장.물류
✔그 외 모든 job것들
✔200% 부려먹기 가능 ❌장난사절❌

세상의 모든 job것들을 [워크맨]이 직접 리뷰해드립니다!",1년 전,7101
쿠팡상하차,1년 전,1055
야구장 치어리더,1년 전,823
AV 배우,1년 전,627
임상실험 알바 해주세요!!!!,1년 전,223
뭐야뭐야 왜 댓글이 2시간 전으로 떠,1년 전,9
슬라임카페 알바 체험 부탁드려요..‼ 흐물흐물ㄹ쬬물쪼ㅛ물...,1년 전(수정됨),185
세차알바요,1년 전,105
뷔페주방마감 알바요👨🏻‍🍳👨🏻‍🍳👩🏻‍🍳👩🏻‍🍳,1년 전,104
약국이요,1년 전,53
울릉도가서 산나물농사 ㄱㄱ 거기 일하시는 분들이 나이많고 그것마저도 사람 구하기 쉽지 않다던데 지금은 농사철이 아니니 내년 봄에 가시죠? ㅋㅋㅋ,1년 전,88
야구장 아니운서 혹은 응원단장,1년 전,48
요번주에 안나오는 줄 알았는데 막상 나오니 기분이 좋군요 장성규님 힘네세욤,1년 전,15
카페직원,1년 전,21
서빙알바요,1년 전,8
에뛰드하우스,1년 전,295
택배 상하차요!,1년 전,8
뷔페알바 가즈아 진짜 힘들고 좋아요😁,1년 전,25
애견카페요,1년 전,54
아마스빈 알바요!,1년 전(수정됨),9
학교.식당.호텔등 조리사찍어주세요,1년 전,9
배라 알바요!! 저희 매장으로 와주시와요,1년 전,61
콜센터,1년 전,18
맘스터치 알바요!,1년 전,15
중2 일일교사요!!!,1년 전,31
자동차 레이서,1년 전,4
아이돌 또는 배우 매니져 해주세용!!!!,1년 전,37
고양 스타필드 - 스포츠몬스터,1년 전,20
고양이나 하남에 있는 스타필드에  안에 있는 스포츠 몬스터 알바해주세요!,1년 전,20
편의점 알바,1년 전,8
워크맨 pd,1년 전,27
대학 조교,1년 전,10
경호원 한번만 체험해주세요..... 진짜.... 연예인이 맨날 경호만 받다가 직접 누군가를 경호하는 거 한번 보고싶어요~~~ 직업에 대한 궁금증도 상당히 큽니다 ㅎㅎㅎ 뭔가 정장입고 잘어울릴꺼 같아욬ㅋㅋㅋ,1년 전,98
인상실험,1년 전,2
고등학교 매점 알바,1년 전,18
에뛰드 알바요,1년 전,21
롯데백화점 잠실 주차유도,1년 전,7
임상실험 알바욬ㅋㅋ,1년 전,0
PD 해주세요!!!!,1년 전,4
마트 시식이요!,1년 전,20
치킨집,1년 전,0
"저 19살인데 공장에서 일하고있습니다..너무 힘들고 외로워서 장성규님이랑 같이 일하면 재밌고 좋을거같아요 그리고 꼭 한번 뵈고싶어요 
일하면서 워크맨보면서 혼자웃고 그러거든요 추천추천..",1년 전,34
옷가게나 대형마트요!,1년 전,1
카페 알바!,1년 전,2
번역자막 알바,1년 전,3
주유소 알바요,1년 전,7
유병재 매니져,1년 전,7
상하차 ㄱ ㄱ,1년 전,2
마트 시식코너,1년 전,6
항공기는  후진은 스스로되는데 연료가 많이 들어서 차가끌음,1년 전,2
대형마트 알바 해주세요ㅎㅎ,1년 전,3
뷔페알바어떠세요!!!,1년 전,2
호텔리어,1년 전,6
세스코 해충 방제,1년 전(수정됨),3
택배 택배 택배!!!!!!!!!!!!!!!!!!!!!,1년 전,5
한국민속촌알바요 젭알,1년 전,23
쿠팡 로켓배송이요!!!!!!!!!!!!!!!!!!!,1년 전,4
아웃백잠실점해주세요 진짜 힘들어요,1년 전,2
김밥천국에서 알바해주세요👍,1년 전,1
뷔페 알바 가즈아,1년 전,1
커피집알바해주세요,1년 전,1
선생님이여,1년 전,1
야구장 치어리덬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋ,1년 전,5
@하염없이눈물이나 인종이요,1년 전,0
중고 거래 알바 꿀잼일듯,1년 전,2
올리브영 알바,1년 전,9
🍩크리스피크림이요ㅠㅠㅠㅠ🍩,1년 전,1
서점알바,1년 전,3
길거리 인형탈 알바요ㅋㅋㅋㅋㅋㅋㅌ 진짜 엄청 웃길것같은데 춤츠고 ㅋㅋㅋ,1년 전,11
🥐파리바게트 오전알바🥐,1년 전,5
아웃백스테이크하우스 홀 또는 주방!!,1년 전,5
한국민속촌!!,1년 전,3
롯데리아 홈서비스,1년 전,1
편의점 or 마트 알바 가자,1년 전,0
동물원!!!!,1년 전,2
"대학조교, 호텔리어, 가정부, 통신사 영업, 과일가게, 63빌딩 청소부, 워크맨 막내, 매니저!!!!",1년 전,1
동대문종합시장한번해주세요ㅠㅠㅠㅠㅠㅠㅠ!!,1년 전,2
편의점 알바요오,1년 전,0
공사장이요,1년 전,2
저 구내식당 영양사인뎅 오시면 지짜 열심히 일하실수잇을거에요!!! 다들 구내식당 한번쯤은 이용해보시지않았을까요?!!!!!! 궁금하지않아요?! 궁금하져!! 궁금할텐데!!!,1년 전,7
백회점 옷가게 알바요!!!,1년 전,1
헐,1년 전,0
치킨집 알바,1년 전,0
헐 아마존,1년 전,0
카페랑 편의점이랑 택배상하차요!!!!!,1년 전,0
열악한 환경인 콜센터 해주세요ㅜㅜ,1년 전,7
삼성반도체공장 취직,1년 전,1
동물원 사육사,1년 전,1
"유치원교사... 아침차량운행부터 간식,점심,낮잠,수업,저녁차량운행,청소,서류업무까지  모든하루일과 해주세요ㅠㅠ제발요",1년 전,9
공차 알바요!,1년 전,4
구내식당 세척 청소 조리 전처리 위생 다다다다 경험시켜드립니다,1년 전,1
주유소 알바해주세요,1년 전,1
편의점 알바,1년 전,1
워크맨 제작진이요ㅋㅋㄱㅋ,1년 전,1
아웃백 와주세요 !!!!!!패밀리레스토랑!!!!,1년 전,3
장의사,1년 전,1
죄수,1년 전,1
볼링장,1년 전,1
워크맨 편집자,1년 전,2
시장알바요 손님은 드럽게 많은데 벨이 없어서 다 외워야되요,1년 전,1
보이스피싱,1년 전,1
"어린이집 선생님,,,",1년 전,3
편의점 !!,1년 전,1
썹브웨이,1년 전,1
KTX승무원 궁금🤔,1년 전,6
맥도날드 알바,1년 전,0
JTBC 보안직원,1년 전,0
호텔알바해주세요,1년 전,0
헌팅주점이요 ! 겁나 잘하실듯,1년 전,0
카페 알바 해주세요ㅠㅠㅠㅠ 스벅이나 투썸 등등...,1년 전,0
택배기사,1년 전,0
다음은 건설노가다 갑시다,1년 전,0
편의점이요!! CU!!!!,1년 전,0
제주도 게스트하우스,1년 전,0
골프장 캐디,1년 전,2
"SK하이닉스 반도체공장, 삼성전기 공장, 현대자동차 공장, 한국전력, 발전소, 철강회사, 멸치잡이어선, 오징어어선, 배구장 코트닦는 사람, 도배, 타일, 공사장 노가다",1년 전,2
코웨이,1년 전,0
버거킹 죽전점 와주세요!! 저희 크루들 다재밌어서 꿀잼 보장!!!,1년 전,0
경복궁 같은 문화유적지 투어가이드,1년 전,1
롯데월드 ㄱㄱ,1년 전,0
유튜브 매니저 가즈아,1년 전,0
항해사요!!,1년 전,0
코인노래방 알바 재밌더욤,1년 전,0
해군 함정 부사관,1년 전,1
