"🐜🐜워크맨 인력소🐜🐜
워크맨의 리뷰를 원하는 job것이 있다면↓댓글 추천↓

✔청소.인력.식당.요리.철거.공장.물류
✔그 외 모든 job것들
✔200% 부려먹기 가능 ❌장난사절❌

세상의 모든 job것들을 [워크맨]이 직접 리뷰해드립니다!",1년 전,12272
ㅋㅋㅋ 편집 개잼,1년 전(수정됨),153
넴,1년 전,17
네,1년 전,10
정말 축하드려요👍👍👍👍,1년 전,16
다음에 뷔페 주방 알바 됩니까?,1년 전,108
뷔페알바 해주세요 웨딩뷔페,1년 전,301
세차장 추천드립니다,1년 전(수정됨),73
"슈퍼(GS25,CU등)",1년 전,46
연탄공자가즈아,1년 전,20
100만 축카해요ㆍ오ㆍ오오ㆍ오ㆍ오ㆍ오ㆍ오ㆍ오ㆍ오오ㆍ오오옹,1년 전,7
택배 상하차 해주세요!ㅠㅠ,1년 전,150
동물자유연대 동물보호소에서 유기동물들 돌보는 업무해주세요,1년 전,103
100만 축하햐요,1년 전,1
화장품가게,1년 전,93
기다렷으,1년 전,0
학원조교 알바요...!!!,1년 전,52
민속촌 가주세요,1년 전,85
민속촌 알바한번만 해주세요,1년 전,219
임상실험 알바해주세요,1년 전,28
휴게소 가자,1년 전,28
cj 올리브영 알바해주세요!,1년 전,71
뷔페알바나 편의점알바요!,1년 전,9
죄송한데 이거 유트브로 안될거 같거든여 10분가지고 현기증 난단 말이예요 걍 예능으로 만들어주시면 안되나여...무도급 가능할거 같은데...하...10분 감질맛나여...ㅠㅠ,1년 전,149
j jk ㄴㄴ 세차장 앞에 손이 붙어야함ㅋㅋㅋㅌ,1년 전,3
횟집 히끼해주세오,1년 전,0
배라 알바 plzㅠㅠㅠㅠㅠ,1년 전,32
숙식 노가다 각,1년 전,1
에버랜드에만 있을수없지 다음에는 롯데월드로!!,1년 전,55
진짜진짜 매일챙겨보는데 진짜진짜 겁나웃김ㅋㅋㅋ 진짜개꿀잼ㅋㅋㅋ너무너무웃겨요,1년 전,2
보는 내내 웃김ㅋ,1년 전,2
배라알바해주세요!,1년 전,21
목욕탕 알ㅂ....읍읍ㅂ,1년 전,3
민속촌 알바 해주세여여여여여여,1년 전,18
뷔페주방 마감알바요!!!,1년 전(수정됨),7
여름가기전에 배라 갑시다 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,1년 전,16
맥도날도요!,1년 전,7
카페 알바 해주세요!!!,1년 전,6
가구가게(?)🛋 알바요!! 계속 막 침대나 쇼파에 누워있을것 같아섴ㅎㅋㅎㅌㅎㅋㅎ,1년 전,5
택배 상하차ㄱㄱ,1년 전,4
대형 학원 조교 알바,1년 전,11
뷔페 홀 서빙이요!!! 애슐리나 쿠우쿠우나 무스쿠스 등등이요!,1년 전,11
독서실 알바 해주세요!!,1년 전,11
쿠팡하루단기요 제발요,1년 전,9
어린이집 선생님,1년 전,11
방탈출 카페 해주세여,1년 전,4
쓰레기 수거차 타고 아파트 돌면서 쓰레기 수거해주시는 환경미화원 알바해주세요,1년 전,9
축구장 볼보의 알바,1년 전,2
재즈보컬리스트 데뷔한번 가시죠,1년 전,2
한국민속촌 꼭 가주세요ㅋㅋㅋㅋㅋㅋ,1년 전,20
추석인데 청과알바요,1년 전,2
워크맨-Workman 충주에있는 무학시장에있는 광덕수산에서 아르바이트 하세요!!,1년 전,0
독서실 알바 해주세요!!,1년 전,5
카페용!!,1년 전,3
"안녕하게요 제가 제과제빵에 직업을 두려고 하는데 일하는 모습이 궁금합니다
디저트 쪽을 많이 하는 걸 보고 싶어요",1년 전,2
가라오케 웨이터,1년 전,1
한국민속촌 알바 한번 해주세요.~!!(이번시즌은 거의 끝나가니 다음시즌행사  추천드립니다.),1년 전,12
에뛰드!! 에뛰드!!! 해주세요 에뛰드!!!!!,1년 전,25
알자는 패스트푸드점이죠~~ 메뉴외우고 가격에 들어가는 거 외우면서 손님대응까지~~ㅎㅎ 맥도널드 드라이브 그루도 재미날 듯...ㅋㅋ,1년 전,4
5:44 아니 이시국에 호????,1년 전,1
세상의 모든 것을 팝니다- 아마존,1년 전,0
민속촌알바,1년 전,4
택배 상하차 알바 ㄱㄱㄱㄱㄱㄱㄱ,1년 전,3
에뛰드!!!!!!!!!!,1년 전,7
택배 상하차 갑시다,1년 전,5
제가 알바하고있는 카페 오시면 친철하게 부려먹어드림,1년 전,0
건설알바,1년 전,0
100만 진짜 진심으로 축하드립니다 그리고 야구장 장내아나운서 해주세요 정말 간곡히 부탁드립니다,1년 전,5
쿠팡 해주세여,1년 전,1
인형탈알바,1년 전,2
마지막 엔딩 노래제목 좀 알려주쇼 7트째다 즌짜ㅡㅡ,1년 전,1
"CU 특수점 가즈아 : 신촌세브란스, 가평휴게소 ㆍㆍ",1년 전,1
형 야구장응원단장,1년 전,1
베스킨 ㄱㄱ,1년 전,2
"명절에 휴게소 알바해주세요!
저희 언니 가게에소~
아리랑~핫도그 알바해듀세요~~~~~!!!!
알바가 귀해여~~연락주세여~~~~~!!!!!!",1년 전,0
귀파방,1년 전,1
"예전에 mbc 무한도전에서 알바 특집을 한적있습니다
거기 나온 모든곳을 가신다면 골드버튼각입니다
ㅌㄱ  이라던가 ㅁㄹㅅㅌ 라던가 63 ㅂㄷ 이라던가 ㅌㅇ ㄱㄲㄱ 라던가....",1년 전,8
"현직 수영강사입니다..

유아부 강습한번가시죠",1년 전,7
카!페!알!바!,1년 전,4
롯데리아 롯데리아 롯롯 롯데리아 원래 알바하면 패스트푸드점이라구요!!!!,1년 전,0
식물원알바!!! 정적인곳에서 어떤 케미가....?!,1년 전,0
백만넘으신거 축하드려요!,1년 전,0
맘스터치 알바,1년 전,1
수련원 교관이욤!!!!!!!,1년 전,7
민속촌한번가죠,1년 전,1
"고층아파트,빌딩유리 청소 해주세요!",1년 전,4
아파트 경비 ㄱㄱ,1년 전,1
사채업자,1년 전,0
키자니아,1년 전,4
"대형마트 해주세요 
2편은 언제 올라와요?",1년 전,0
한국민속촌에 가주세요. 온갖 상황극와 각종 드립의 자유도가 높고 재밌어요,1년 전,2
은행 청경 한번 가즈아,1년 전,1
베스킨 라빈스!!! 무조건 여름에 가셔합니다!'!!,1년 전,4
편의점(역시 cu 지) 헷,1년 전,0
애슐리 홀이용,1년 전,2
민속촌!!,1년 전,1
돌잔치 사회 !!,1년 전,4
학교 급식실 알바 해주세요! 아니면 편의점 알바요!! 아니면 명랑핫도그 알바요!!,1년 전,4
에뛰드하우스 알바해주세요 ㅜ ㅜ,1년 전,4
노가다 리뷰 해주세요!!,1년 전,1
인천공항 왕가의산책부탁드립니다!!,1년 전,1
생동성 한번 하시죠,1년 전,0
워크맨-Workman 대명비발디파크 루지월드,1년 전,1
워크맨-Workman  루지월드,1년 전,1
🍩크리스피크림 와주세요🍩,1년 전,2
화장품 가게요~!!! 에뛰드!ㅋㅋㅋㅋ,1년 전,1
뷔페 알바 해주세욬ㅋㅋㅋㅋ,1년 전,0
워크맨-Workman 🍩크리스피크림 와주세요🍩,1년 전,1
성심당이요!!!!!,1년 전,0
진짜 핑크핑크 에뛰드 알바 가는 거 보고싶어요ㅋㅋㅋ,1년 전,5
장성규 꼭두새벽부터 인력사무소 나가서 노가다판에서 욕먹고 개같이 구르는거 빨리 보내라 될 때까지 쓴다. 1일차,1년 전(수정됨),0
주차장 유도알바,1년 전,1
골프장 레스토랑 해주세욤,1년 전,0
쿠팡이요..,1년 전,0
택배 상하자 어때요?ㅋㅋㅋㅋ,1년 전,2
"아모레퍼시픽 화장품 마케터 체험! 제품 기획부터 실제 제품개발, 광고기획&촬영장 방문까지 체험해 보시겠어요?!!  ;)",1년 전,4
민속촌 휴게소 애슐리등 무한리필집?,1년 전,0
택배 상하차 해주세여,1년 전,6
"시장 새벽 타임, 새우 오징어 잡이 이런거 보고파요. 흥정에서 지지말구요 ㅎㅎ",1년 전,0
민속촌이요ㅜㅜㅜㅜ 제에에발ㅜㅜㅜ,1년 전,2
@활성산소  ㅋㅋㅋㅋㅋㅋ ㅇㅈ ㅋㅋㅋㅋㅋ,1년 전(수정됨),0
택배물류 알바요,1년 전,1
보안업체 직원 리뷰해주세용 ㅋㅋㅋ,1년 전,0
용인 민속촌이요!!!!!,1년 전,1
온라인 의류브랜드 MD업무 보조나 착용모델 업무 추천ㅋㅋㅋㅋ(온라인샵으로 유명한 무신사 같은...오프라인 매장이 없어서 궁금함),1년 전,2
파바 오전 알바요ㅠㅠ,1년 전,1
에뛰드 알바 갑시다,1년 전,1
상하차,1년 전,1
홈플러스 카트 수거 알바 해주세요 ㅋㅋㅋㅋㅋ,1년 전,1
상하차ㄱㄱ,1년 전,1
처음에 나오기는 피디님 런닝맨 동완?pd님 아니신가요?,1년 전,0
롯데타워나 아쿠아리움 입장해주세요~~,1년 전,1
냉동창고 가자,1년 전,0
신발가게 옷가게 직원,1년 전,0
청소년 수련원이요,1년 전,1
민속촌 거지 알바!,1년 전,1
안녕하세요 국내 로컬 호텔 브랜드 다니고있는데 호텔 모든 업무에 대한 알바해보실 생각있으신가요ㅋㅋㅋㅋㅋㅋㅋ,1년 전,1
화장품가게 알바해주세여 ㅠㅠㅠㅠㅠ,1년 전,0
패밀리 레스토랑 해주세요!!,1년 전,2
마트 시식알바요!!!!,1년 전,3
아대가리박아좐나욱기네ㅋㅋ진짜최고다아나운서중에탑임,1년 전,0
방탈출카페해주세요!!!!,1년 전,0
키즈카페 키즈카페!,1년 전,0
볼보이 알바,1년 전,0
배라알바요ㅠㅠㅠ제가 하는 지점으로 오시는건...,1년 전,2
인력!(aka 노가다) 체험이요!,1년 전,1
"애슐리요.,,,,,젭알",1년 전,1
쿠팡맨 해주세요,1년 전,0
이제 곧 추석이니까 택배 상하차 가시죠!!!!!,1년 전,0
화장품 가게 알바 해주세요 ㅋㅋ,1년 전,0
파바해주세요ㅠㅜ 전 알바생이 너무 간절히 원합니다ㅜㅜ,1년 전,1
저희 엄마 케이터링 행사 도우미,1년 전,0
"고물상 아르바이트,,,,",1년 전,0
패밀리레스토랑 서빙알바해주세요 생일송도 불러보고... 판촉도하고..,1년 전,1
에뛰드하우스가주세요 어서오세요 공주님,1년 전,1
상하차 해주세료,1년 전,0
애슐리 알바해주세요ㅋㅋㅋ,1년 전,1
혼자하기 억울하다 도배하러 오시죠,1년 전,1
노가다요ㅠㅠ,1년 전,0
사회복지,1년 전,0
